"","x","z"
"770",20,16
"771",21,16
"772",22,16
"773",23,16
"774",24,16
"775",25,16
"776",26,16
"777",27,16
"778",28,16
"779",29,16
"780",30,16
"781",31,16
"782",32,16
"783",33,16
"784",34,16
"785",35,16
"786",36,16
"787",37,16
"788",38,16
"789",39,16
"790",40,16
"791",41,16
"792",42,16
"793",43,16
"794",44,16
"795",45,16
"796",46,16
"797",47,16
"798",48,16
"799",49,16
"800",50,16
"801",1,17
"802",2,17
"803",3,17
"804",4,17
"805",5,17
"806",6,17
"807",7,17
"808",8,17
"809",9,17
"810",10,17
"811",11,17
"812",12,17
"813",13,17
"814",14,17
"815",15,17
"816",16,17
"817",17,17
"818",18,17
"819",19,17
"820",20,17
"821",21,17
"822",22,17
"823",23,17
"824",24,17
"825",25,17
"826",26,17
"827",27,17
"828",28,17
"829",29,17
"830",30,17
"831",31,17
"832",32,17
"833",33,17
"834",34,17
"835",35,17
"836",36,17
"837",37,17
"838",38,17
"839",39,17
"840",40,17
"841",41,17
"842",42,17
"843",43,17
"844",44,17
"845",45,17
"846",46,17
"847",47,17
"848",48,17
"849",49,17
"850",50,17
"851",1,18
"852",2,18
"853",3,18
"854",4,18
"855",5,18
"856",6,18
"857",7,18
"858",8,18
"859",9,18
"860",10,18
"861",11,18
"862",12,18
"863",13,18
"864",14,18
"865",15,18
"866",16,18
"867",17,18
"868",18,18
"869",19,18
"870",20,18
"871",21,18
"872",22,18
"873",23,18
"874",24,18
"875",25,18
"876",26,18
"877",27,18
"878",28,18
"879",29,18
"880",30,18
"881",31,18
"882",32,18
"883",33,18
"884",34,18
"885",35,18
"886",36,18
"887",37,18
"888",38,18
"889",39,18
"890",40,18
"891",41,18
"892",42,18
"893",43,18
"894",44,18
"895",45,18
"896",46,18
"897",47,18
"898",48,18
"899",49,18
"900",50,18
"901",1,19
"902",2,19
"903",3,19
"904",4,19
"905",5,19
"906",6,19
"907",7,19
"908",8,19
"909",9,19
"910",10,19
"911",11,19
"912",12,19
"913",13,19
"914",14,19
"915",15,19
"916",16,19
"917",17,19
"918",18,19
"919",19,19
"920",20,19
"921",21,19
"922",22,19
"923",23,19
"924",24,19
"925",25,19
"926",26,19
"927",27,19
"928",28,19
"929",29,19
"930",30,19
"931",31,19
"932",32,19
"933",33,19
"934",34,19
"935",35,19
"936",36,19
"937",37,19
"938",38,19
"939",39,19
"940",40,19
"941",41,19
"942",42,19
"943",43,19
"944",44,19
"945",45,19
"946",46,19
"947",47,19
"948",48,19
"949",49,19
"950",50,19
"951",1,20
"952",2,20
"953",3,20
"954",4,20
"955",5,20
"956",6,20
"957",7,20
"958",8,20
"959",9,20
"960",10,20
"961",11,20
"962",12,20
"963",13,20
"964",14,20
"965",15,20
"966",16,20
"967",17,20
"968",18,20
"969",19,20
"970",20,20
"971",21,20
"972",22,20
"973",23,20
"974",24,20
"975",25,20
"976",26,20
"977",27,20
"978",28,20
"979",29,20
"980",30,20
"981",31,20
"982",32,20
"983",33,20
"984",34,20
"985",35,20
"986",36,20
"987",37,20
"988",38,20
"989",39,20
"990",40,20
"991",41,20
"992",42,20
"993",43,20
"994",44,20
"995",45,20
"996",46,20
"997",47,20
"998",48,20
"999",49,20
"1000",50,20
"1001",1,21
"1002",2,21
"1003",3,21
"1004",4,21
"1005",5,21
"1006",6,21
"1007",7,21
"1008",8,21
"1009",9,21
"1010",10,21
"1011",11,21
"1012",12,21
"1013",13,21
"1014",14,21
"1015",15,21
"1016",16,21
"1017",17,21
"1018",18,21
"1019",19,21
"1020",20,21
"1021",21,21
"1022",22,21
"1023",23,21
"1024",24,21
"1025",25,21
"1026",26,21
"1027",27,21
"1028",28,21
"1029",29,21
"1030",30,21
"1031",31,21
"1032",32,21
"1033",33,21
"1034",34,21
"1035",35,21
"1036",36,21
"1037",37,21
"1038",38,21
"1039",39,21
"1040",40,21
"1041",41,21
"1042",42,21
"1043",43,21
"1044",44,21
"1045",45,21
"1046",46,21
"1047",47,21
"1048",48,21
"1049",49,21
"1050",50,21
"1051",1,22
"1052",2,22
"1053",3,22
"1054",4,22
"1055",5,22
"1056",6,22
"1057",7,22
"1058",8,22
"1059",9,22
"1060",10,22
"1061",11,22
"1062",12,22
"1063",13,22
"1064",14,22
"1065",15,22
"1066",16,22
"1067",17,22
"1068",18,22
"1069",19,22
"1070",20,22
"1071",21,22
"1072",22,22
"1073",23,22
"1074",24,22
"1075",25,22
"1076",26,22
"1077",27,22
"1078",28,22
"1079",29,22
"1080",30,22
"1081",31,22
"1082",32,22
"1083",33,22
"1084",34,22
"1085",35,22
"1086",36,22
"1087",37,22
"1088",38,22
"1089",39,22
"1090",40,22
"1091",41,22
"1092",42,22
"1093",43,22
"1094",44,22
"1095",45,22
"1096",46,22
"1097",47,22
"1098",48,22
"1099",49,22
"1100",50,22
"1101",1,23
"1102",2,23
"1103",3,23
"1104",4,23
"1105",5,23
"1106",6,23
"1107",7,23
"1108",8,23
"1109",9,23
"1110",10,23
"1111",11,23
"1112",12,23
"1113",13,23
"1114",14,23
"1115",15,23
"1116",16,23
"1117",17,23
"1118",18,23
"1119",19,23
"1120",20,23
"1121",21,23
"1122",22,23
"1123",23,23
"1124",24,23
"1125",25,23
"1126",26,23
"1127",27,23
"1128",28,23
"1129",29,23
"1130",30,23
"1131",31,23
"1132",32,23
"1133",33,23
"1134",34,23
"1135",35,23
"1136",36,23
"1137",37,23
"1138",38,23
"1139",39,23
"1140",40,23
"1141",41,23
"1142",42,23
"1143",43,23
"1144",44,23
"1145",45,23
"1146",46,23
"1147",47,23
"1148",48,23
"1149",49,23
"1150",50,23
"1151",1,24
"1152",2,24
"1153",3,24
"1154",4,24
"1155",5,24
"1156",6,24
"1157",7,24
"1158",8,24
"1159",9,24
"1160",10,24
"1161",11,24
"1162",12,24
"1163",13,24
"1164",14,24
"1165",15,24
"1166",16,24
"1167",17,24
"1168",18,24
"1169",19,24
"1170",20,24
"1171",21,24
"1172",22,24
"1173",23,24
"1174",24,24
"1175",25,24
"1176",26,24
"1177",27,24
"1178",28,24
"1179",29,24
"1180",30,24
"1181",31,24
"1182",32,24
"1183",33,24
"1184",34,24
"1185",35,24
"1186",36,24
"1187",37,24
"1188",38,24
"1189",39,24
"1190",40,24
"1191",41,24
"1192",42,24
"1193",43,24
"1194",44,24
"1195",45,24
"1196",46,24
"1197",47,24
"1198",48,24
"1199",49,24
"1200",50,24
"1201",1,25
"1202",2,25
"1203",3,25
"1204",4,25
"1205",5,25
"1206",6,25
"1207",7,25
"1208",8,25
"1209",9,25
"1210",10,25
"1211",11,25
"1212",12,25
"1213",13,25
"1214",14,25
"1215",15,25
"1216",16,25
"1217",17,25
"1218",18,25
"1219",19,25
"1220",20,25
"1221",21,25
"1222",22,25
"1223",23,25
"1224",24,25
"1225",25,25
"1226",26,25
"1227",27,25
"1228",28,25
"1229",29,25
"1230",30,25
"1231",31,25
"1232",32,25
"1233",33,25
"1234",34,25
"1235",35,25
"1236",36,25
"1237",37,25
"1238",38,25
"1239",39,25
"1240",40,25
"1241",41,25
"1242",42,25
"1243",43,25
"1244",44,25
"1245",45,25
"1246",46,25
"1247",47,25
"1248",48,25
"1249",49,25
"1250",50,25
"1251",1,26
"1252",2,26
"1253",3,26
"1254",4,26
"1255",5,26
"1256",6,26
"1257",7,26
"1258",8,26
"1259",9,26
"1260",10,26
"1261",11,26
"1262",12,26
"1263",13,26
"1264",14,26
"1265",15,26
"1266",16,26
"1267",17,26
"1268",18,26
"1269",19,26
"1270",20,26
"1271",21,26
"1272",22,26
"1273",23,26
"1274",24,26
"1275",25,26
"1276",26,26
"1277",27,26
"1278",28,26
"1279",29,26
"1280",30,26
"1281",31,26
"1282",32,26
"1283",33,26
"1284",34,26
"1285",35,26
"1286",36,26
"1287",37,26
"1288",38,26
"1289",39,26
"1290",40,26
"1291",41,26
"1292",42,26
"1293",43,26
"1294",44,26
"1295",45,26
"1296",46,26
"1297",47,26
"1298",48,26
"1299",49,26
"1300",50,26
"1301",1,27
"1302",2,27
"1303",3,27
"1304",4,27
"1305",5,27
"1306",6,27
"1307",7,27
"1308",8,27
"1309",9,27
"1310",10,27
"1311",11,27
"1312",12,27
"1313",13,27
"1314",14,27
"1315",15,27
"1316",16,27
"1317",17,27
"1318",18,27
"1319",19,27
"1320",20,27
"1321",21,27
"1322",22,27
"1323",23,27
"1324",24,27
"1325",25,27
"1326",26,27
"1327",27,27
"1328",28,27
"1329",29,27
"1330",30,27
"1331",31,27
"1332",32,27
"1333",33,27
"1334",34,27
"1335",35,27
"1336",36,27
"1337",37,27
"1338",38,27
"1339",39,27
"1340",40,27
"1341",41,27
"1342",42,27
"1343",43,27
"1344",44,27
"1345",45,27
"1346",46,27
"1347",47,27
"1348",48,27
"1349",49,27
"1350",50,27
"1351",1,28
"1352",2,28
"1353",3,28
"1354",4,28
